Country_A,Country_B,Exports,Imports,Income_level,Consumption,Partners_consump,Exports_share,Imports_share,Trade relation,Consumption transmission,Convergence rate,Consumption growth,Imports growth rate
3,1,52,50,1,25,100,,,,,0.010,,0.050
3,2,40,80,1,25,50,,,,,0.010,,0.050
3,4,25,25,1,25,10.000,,,,,0.010,,0.050
3,5,30,32,1,25,10.000,,,,,0.010,,0.050
3,6,45,30,1,25,10.000,,,,,0.010,,0.050
3,7,25,20,1,25,5.000,,,,,0.010,,0.050
3,8,25,20,1,25,5.000,,,,,0.010,,0.050
3,9,23,18,1,25,5.000,,,,,0.010,,0.050
3,10,20,25,1,25,4.000,,,,,0.010,,0.050
3,11,20,25,1,25,4.000,,,,,0.010,,0.050
3,12,18,20,1,25,4.000,,,,,0.010,,0.050
3,13,12,10,1,25,2.000,,,,,0.010,,0.050
3,14,10,11,1,25,2.000,,,,,0.010,,0.050
3,15,10,7,1,25,2.000,,,,,0.010,,0.050
4,1,40,20,1,25,100,,,,,0.010,,0.050
4,2,28,30,1,25,50,,,,,0.010,,0.050
4,3,25,25,1,25,25,,,,,0.010,,0.050
4,5,40,38,1,25,10.000,,,,,0.010,,0.050
4,6,40,30,1,25,10.000,,,,,0.010,,0.050
4,7,35,30,1,25,5.000,,,,,0.010,,0.050
4,8,30,28,1,25,5.000,,,,,0.010,,0.050
4,9,25,24,1,25,5.000,,,,,0.010,,0.050
4,10,20,18,1,25,4.000,,,,,0.010,,0.050
4,11,20,15,1,25,4.000,,,,,0.010,,0.050
4,12,20,10,1,25,4.000,,,,,0.010,,0.050
4,13,15,16,1,25,2.000,,,,,0.010,,0.050
4,14,14,15,1,25,2.000,,,,,0.010,,0.050
4,15,15,13,1,25,2.000,,,,,0.010,,0.050
5,1,32,30,2,10,100,0.081,0.089,1.097,0.089,0.500,0.045,0.100
5,2,48,50,2,10,50,0.122,0.149,1.218,0.074,0.500,0.037,0.100
5,3,32,30,2,10,25,0.081,0.089,1.097,0.022,0.500,0.011,0.100
5,4,38,40,2,10,25,0.097,0.119,1.231,0.030,0.500,0.015,0.100
5,6,40,30,2,10,10.000,0.102,0.089,0.877,0.009,0.500,0.004,0.100
5,7,30,25,2,10,5.000,0.076,0.074,0.975,0.004,0.500,0.002,0.100
5,8,30,20,2,10,5.000,0.076,0.060,0.780,0.003,0.500,0.001,0.100
5,9,28,20,2,10,5.000,0.071,0.060,0.835,0.003,0.500,0.001,0.100
5,10,29,25,2,10,4.000,0.074,0.074,1.008,0.003,0.500,0.001,0.100
5,11,25,20,2,10,4.000,0.064,0.060,0.936,0.002,0.500,0.001,0.100
5,12,27,16,2,10,4.000,0.069,0.048,0.693,0.002,0.500,0.001,0.100
5,13,18,15,2,10,2.000,0.046,0.045,0.975,0.001,0.500,0.000,0.100
5,14,16,15,2,10,2.000,0.041,0.045,1.097,0.001,0.500,0.000,0.100
6,1,25,30,2,10,,,,,,0.500,,0.100
6,2,25,50,2,10,,,,,,0.500,,0.100
6,3,30,45,2,10,,,,,,0.500,,0.100
6,4,30,40,2,10,,,,,,0.500,,0.100
6,5,30,40,2,10,,,,,,0.500,,0.100
6,7,25,24,2,10,,,,,,0.500,,0.100
6,8,20,18,2,10,,,,,,0.500,,0.100
6,9,18,17,2,10,,,,,,0.500,,0.100
6,10,17,15,2,10,,,,,,0.500,,0.100
6,11,15,15,2,10,,,,,,0.500,,0.100
6,12,14,14,2,10,,,,,,0.500,,0.100
6,14,10,10,2,10,,,,,,0.500,,0.100
7,1,30,25,2,5,,,,,,0.500,,0.100
7,2,10,40,2,5,,,,,,0.500,,0.100
7,3,20,25,2,5,,,,,,0.500,,0.100
7,4,30,35,2,5,,,,,,0.500,,0.100
7,5,25,30,2,5,,,,,,0.500,,0.100
7,6,24,25,2,5,,,,,,0.500,,0.100
7,8,23,24,2,5,,,,,,0.500,,0.100
7,9,22,20,2,5,,,,,,0.500,,0.100
7,10,20,15,2,5,,,,,,0.500,,0.100
7,11,20,22,2,5,,,,,,0.500,,0.100
7,12,18,19,2,5,,,,,,0.500,,0.100
7,14,15,14,2,5,,,,,,0.500,,0.100
7,15,14,14,2,5,,,,,,0.500,,0.100
8,1,37,35,2,5,,,,,,0.500,,0.100
8,2,12,38,2,5,,,,,,0.500,,0.100
8,3,20,25,2,5,,,,,,0.500,,0.100
8,4,28,30,2,5,,,,,,0.500,,0.100
8,5,30,20,2,5,,,,,,0.500,,0.100
8,6,18,20,2,5,,,,,,0.500,,0.100
8,7,24,23,2,5,,,,,,0.500,,0.100
8,9,20,16,2,5,,,,,,0.500,,0.100
8,10,16,17,2,5,,,,,,0.500,,0.100
8,11,15,11,2,5,,,,,,0.500,,0.100
8,12,13,10,2,5,,,,,,0.500,,0.100
8,15,12,8,2,5,,,,,,0.500,,0.100
9,1,22,20,2,5,,,,,,0.500,,0.100
9,2,15,35,2,5,,,,,,0.500,,0.100
9,3,23,18,2,5,,,,,,0.500,,0.100
9,4,24,25,2,5,,,,,,0.500,,0.100
9,5,28,20,2,5,,,,,,0.500,,0.100
9,6,17,18,2,5,,,,,,0.500,,0.100
9,7,20,22,2,5,,,,,,0.500,,0.100
9,8,16,20,2,5,,,,,,0.500,,0.100
9,10,15,14,2,5,,,,,,0.500,,0.100
9,11,14,16,2,5,,,,,,0.500,,0.100
9,12,15,15,2,5,,,,,,0.500,,0.100
9,13,8,7,2,5,,,,,,0.500,,0.100
10,1,20,18,2,4,,,,,,0.500,,0.100
10,2,30,15,2,4,,,,,,0.500,,0.100
10,3,25,20,2,4,,,,,,0.500,,0.100
10,4,18,20,2,4,,,,,,0.500,,0.100
10,5,25,29,2,4,,,,,,0.500,,0.100
10,6,15,17,2,4,,,,,,0.500,,0.100
10,7,15,20,2,4,,,,,,0.500,,0.100
10,8,17,16,2,4,,,,,,0.500,,0.100
10,9,14,15,2,4,,,,,,0.500,,0.100
10,11,10,13,2,4,,,,,,0.500,,0.100
10,12,6,6,2,4,,,,,,0.500,,0.100
10,15,4,3,2,4,,,,,,0.500,,0.100
11,1,20,15,2,4,,,,,,0.500,,0.100
11,2,13,28,2,4,,,,,,0.500,,0.100
11,3,25,20,2,4,,,,,,0.500,,0.100
11,4,15,20,2,4,,,,,,0.500,,0.100
11,5,20,25,2,4,,,,,,0.500,,0.100
11,6,15,15,2,4,,,,,,0.500,,0.100
11,7,22,10,2,4,,,,,,0.500,,0.100
11,8,15,11,2,4,,,,,,0.500,,0.100
11,9,16,14,2,4,,,,,,0.500,,0.100
11,10,13,10,2,4,,,,,,0.500,,0.100
11,12,7,6,2,4,,,,,,0.500,,0.100
11,14,4,3,2,4,,,,,,0.500,,0.100
12,1,20,16,2,4,,,,,,0.500,,0.100
12,2,10,25,2,4,,,,,,0.500,,0.100
12,3,20,18,2,4,,,,,,0.500,,0.100
12,4,10,20,2,4,,,,,,0.500,,0.100
12,5,16,27,2,4,,,,,,0.500,,0.100
12,6,14,14,2,4,,,,,,0.500,,0.100
12,7,19,18,2,4,,,,,,0.500,,0.100
12,8,10,13,2,4,,,,,,0.500,,0.100
12,9,15,15,2,4,,,,,,0.500,,0.100
12,10,6,6,2,4,,,,,,0.500,,0.100
12,11,6,7,2,4,,,,,,0.500,,0.100
12,13,5,4,2,4,,,,,,0.500,,0.100
12,14,3,3,2,4,,,,,,0.500,,0.100
12,15,4,3,2,4,,,,,,0.500,,0.100
13,1,10,15,3,2,,,,,,0.010,,0.050
13,2,5,25,3,2,,,,,,0.010,,0.050
13,3,10,12,3,2,,,,,,0.010,,0.050
13,4,16,15,3,2,,,,,,0.010,,0.050
13,5,15,18,3,2,,,,,,0.010,,0.050
13,6,0,0,3,2,,,,,,0.010,,0.050
13,7,0,0,3,2,,,,,,0.010,,0.050
13,8,0,0,3,2,,,,,,0.010,,0.050
13,9,7,8,3,2,,,,,,0.010,,0.050
13,10,0,0,3,2,,,,,,0.010,,0.050
13,12,4,5,3,2,,,,,,0.010,,0.050
13,14,5,6,3,2,,,,,,0.010,,0.050
13,15,2,2,3,2,,,,,,0.010,,0.050
14,1,12,14,3,2,,,,,,0.010,,0.050
14,2,5,20,3,2,,,,,,0.010,,0.050
14,3,11,10,3,2,,,,,,0.010,,0.050
14,4,15,14,3,2,,,,,,0.010,,0.050
14,5,15,16,3,2,,,,,,0.010,,0.050
14,6,10,10,3,2,,,,,,0.010,,0.050
14,7,14,15,3,2,,,,,,0.010,,0.050
14,8,0,0,3,2,,,,,,0.010,,0.050
14,9,0,0,3,2,,,,,,0.010,,0.050
14,10,0,0,3,2,,,,,,0.010,,0.050
14,11,3,4,3,2,,,,,,0.010,,0.050
14,12,3,3,3,2,,,,,,0.010,,0.050
14,15,1,1,3,2,,,,,,0.010,,0.050
15,1,11,12,3,2,,,,,,0.010,,0.050
15,2,5,15,3,2,,,,,,0.010,,0.050
15,3,7,10,3,2,,,,,,0.010,,0.050
15,4,13,15,3,2,,,,,,0.010,,0.050
15,5,0,0,3,2,,,,,,0.010,,0.050
15,6,0,0,3,2,,,,,,0.010,,0.050
15,7,14,14,3,2,,,,,,0.010,,0.050
15,8,8,12,3,2,,,,,,0.010,,0.050
15,9,0,0,3,2,,,,,,0.010,,0.050
15,10,3,4,3,2,,,,,,0.010,,0.050
15,11,0,0,3,2,,,,,,0.010,,0.050
15,12,3,4,3,2,,,,,,0.010,,0.050
15,13,2,2,3,2,,,,,,0.010,,0.050
15,14,1,1,3,2,,,,,,0.010,,0.050
